Vers 1,Vers 2,Vers 3,Vers,Kaxxa
66,64,58,58,66
58,53,67,53,67
67,65,52,52,67
48,64,51,48,64
66,50,64,50,66
64,55,66,55,66
67,66,68,66,68
59,42,48,42,59
68,59,65,59,68
66,61,51,51,66
66,53,54,53,66
27,29,63,27,63
31,55,60,31,60
50,66,60,50,66
67,68,43,43,68
51,65,68,51,68
32,60,65,32,65
66,39,52,39,66
63,66,56,56,66
64,61,60,60,64
58,68,50,50,68
48,67,64,48,67
50,68,42,42,68
55,63,42,42,63
68,51,55,51,68
57,62,51,51,62
49,31,67,31,67
68,66,65,65,68
52,57,64,52,64
68,67,64,64,68
60,45,53,45,60
60,38,59,38,60
52,46,56,46,56
58,65,66,58,66
49,65,68,49,68
62,54,65,54,65
33,47,60,33,60
48,62,36,36,62
41,57,67,41,67
54,57,49,49,57
43,51,61,43,61
53,62,59,53,62
44,60,67,44,67
58,65,51,51,65
34,53,58,34,58
37,60,40,37,60
68,65,53,53,68
59,39,58,39,59
68,64,60,60,68
66,48,65,48,66
47,68,67,47,68
53,56,49,49,56
61,59,45,45,61
51,63,49,49,63
66,55,51,51,66
68,63,55,55,68
30,59,63,30,63
48,56,51,48,56
68,36,59,36,68
46,48,60,46,60
67,62,61,61,67
68,57,65,57,68
40,60,41,40,60
61,68,66,61,68
52,46,44,44,52
63,46,64,46,64
34,60,68,34,68
29,33,59,29,59
50,58,60,50,60
63,68,60,60,68
